%time,field.name0,field.name1,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z
3663000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.95735658185e-12,3.83387072089e-12,0.00500000000638,3.60049509767e-13,-2.40841834296e-11,1.29936215936e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.73898431288e-11,5.66208112224e-11,-9.08001051504e-11,3.92611443715e-11,4.48259493204e-10,-1.38581210905e-10
3664000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.06704661668e-12,3.71169761593e-12,0.00500000000651,2.94910664154e-13,-2.45588743192e-11,1.31493166359e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07265519093e-11,-1.04793448007e-10,6.03063481197e-11,-1.38149032433e-10,-7.60081637928e-10,2.59670282534e-10
3665000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.06393799221e-12,3.71842140412e-12,0.00500000000651,3.00128061593e-13,-2.45394219354e-11,1.31417651722e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00817963762e-11,-2.25225563834e-11,-1.80341327189e-11,-4.843864567e-11,-1.43016633069e-10,5.68344293897e-11
3666000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.05055980476e-12,3.73740621784e-12,0.00500000000649,3.11604126152e-13,-2.44735412451e-11,1.311902859e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04924475548e-11,-1.13050152538e-11,-2.94315593523e-11,-3.67062054686e-11,-5.84169568297e-11,2.91705199608e-11
3667000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.91738855296e-12,3.8988604012e-12,0.00500000000634,3.97560578562e-13,-2.38708705097e-11,1.29201101291e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4784497539e-11,4.1833588158e-11,-7.96164071147e-11,2.1429068018e-11,3.39513514136e-10,-1.02058218839e-10
3668000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.02102787231e-12,3.78314740646e-12,0.00500000000646,3.37624645968e-13,-2.43220678512e-11,1.30673999018e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02457084795e-10,-1.18441167295e-10,7.14516104205e-11,-1.54073321607e-10,-8.61202575184e-10,2.93329770878e-10
3669000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.01714209172e-12,3.7908357009e-12,0.00500000000645,3.41765255414e-13,-2.4296977248e-11,1.30586388703e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32209316023e-11,-3.7835499879e-11,-6.39552304284e-12,-6.68638217994e-11,-2.55748245013e-10,9.45872073e-11
3670000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00204305859e-12,3.81183973275e-12,0.00500000000644,3.5322463064e-13,-2.42222969877e-11,1.30334396871e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33491898808e-11,-2.63315758066e-11,-1.70177407047e-11,-5.41650193052e-11,-1.69752942132e-10,6.62254924339e-11
3671000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.87134205301e-12,3.97035182509e-12,0.00500000000627,4.34733674271e-13,-2.36269788096e-11,1.28381348886e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1680117269e-11,2.64487228348e-11,-6.61218063937e-11,4.03493873265e-12,2.24955693204e-10,-6.40720904839e-11
3672000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.96768165597e-12,3.86046750123e-12,0.00500000000639,3.77951222244e-13,-2.40481557219e-11,1.29753077137e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13113663221e-10,-1.30852719261e-10,8.40627201591e-11,-1.67049007708e-10,-9.5502461087e-10,3.23922664564e-10
